Date,Open,High,Low,Close,Volume,Change
10-28-2019,1492.40,1503.60,1506.30,1489.10,0.36K,-0.62%
10-25-2019,1501.70,1502.10,1517.00,1499.70,0.44K,+0.05%
10-24-2019,1501.00,1490.40,1502.40,1486.70,1.01K,+0.62%
10-23-2019,1491.80,1487.30,1495.10,1486.70,0.57K,+0.55%
10-22-2019,1483.60,1483.70,1488.20,1480.00,0.79K,-0.04%
10-21-2019,1484.20,1490.70,1494.70,1481.60,1.24K,-0.39%
10-18-2019,1490.00,1492.50,1492.90,1484.80,0.78K,-0.28%
10-17-2019,1494.20,1490.10,1496.10,1484.30,1.60K,+0.27%
10-16-2019,1490.20,1480.50,1491.20,1477.10,0.54K,+0.71%
10-15-2019,1479.70,1493.10,1498.00,1477.70,0.78K,-0.94%
10-14-2019,1493.80,1488.00,1496.80,1483.30,0.98K,+0.61%
10-11-2019,1484.70,1495.80,1503.80,1474.70,1.43K,-0.82%
10-10-2019,1497.00,1512.50,1517.80,1492.00,0.97K,-0.79%
10-09-2019,1508.90,1509.50,1512.50,1501.50,0.29K,+0.59%
10-08-2019,1500.10,1495.00,1511.00,1488.40,1.30K,-0.04%
10-07-2019,1500.70,1514.10,1515.10,1492.00,0.29K,-0.56%
10-04-2019,1509.20,1509.00,1516.50,1498.10,0.57K,-0.06%
10-03-2019,1510.10,1502.10,1521.00,1498.30,0.62K,+0.40%
10-02-2019,1504.10,1482.90,1507.00,1477.70,0.80K,+1.27%
10-01-2019,1485.20,1475.00,1489.30,1461.50,1.18K,+1.09%
09-30-2019,1469.20,1497.60,1503.20,1467.00,1.54K,-2.23%
09-27-2019,1502.70,1508.30,1510.10,1489.80,1.03K,-0.34%
09-26-2019,1507.90,1503.70,1512.00,1500.00,8.18K,+0.19%
09-25-2019,1505.10,1530.90,1534.90,1499.80,15.73K,-1.79%
09-24-2019,1532.60,1522.80,1535.60,1515.50,8.57K,+0.56%
09-23-2019,1524.00,1515.20,1526.70,1511.00,7.98K,+1.06%
09-20-2019,1508.00,1499.50,1517.40,1498.70,7.38K,+0.57%
09-19-2019,1499.50,1494.40,1505.10,1489.80,4.86K,-0.64%
09-18-2019,1509.10,1502.60,1512.20,1484.00,8.29K,+0.15%
09-17-2019,1506.90,1499.40,1508.40,1494.60,10.85K,+0.14%
09-16-2019,1504.80,1500.30,1512.80,1496.90,5.61K,+0.80%
09-13-2019,1492.90,1499.80,1509.80,1486.70,6.27K,-0.53%
09-12-2019,1500.80,1499.10,1525.40,1490.50,6.91K,+0.28%
09-11-2019,1496.60,1486.80,1499.60,1486.80,4.59K,+0.26%
09-10-2019,1492.70,1500.20,1502.50,1485.70,6.18K,-0.78%
09-09-2019,1504.50,1509.20,1517.10,1499.10,7.33K,-0.30%
09-06-2019,1509.00,1520.60,1529.60,1504.50,12.64K,-0.66%
09-05-2019,1519.00,1555.00,1555.50,1508.20,13.90K,-2.25%
09-04-2019,1554.00,1549.80,1559.80,1536.50,8.15K,+0.28%
09-03-2019,1549.60,1526.00,1552.50,1521.70,8.48K,-0.40%
09-02-2019,1555.90,1535.20,1558.90,1528.00,554.83K,+2.16%
08-30-2019,1523.00,1530.60,1535.70,1519.30,6.28K,-0.49%
08-29-2019,1530.50,1542.20,1553.40,1522.30,16.57K,-0.54%
08-28-2019,1538.80,1540.90,1546.00,1531.70,2.76K,-0.17%
08-27-2019,1541.40,1526.90,1543.90,1526.00,1.89K,+0.93%
08-26-2019,1527.20,1535.40,1555.00,1525.40,2.35K,-0.05%
08-23-2019,1527.90,1498.20,1530.20,1493.40,2.73K,+1.95%
08-22-2019,1498.70,1502.50,1504.50,1492.60,2.13K,-0.49%
08-21-2019,1506.10,1506.00,1508.10,1497.10,2.10K,-0.01%
08-20-2019,1506.30,1497.60,1509.00,1494.90,1.60K,+0.28%
08-19-2019,1502.10,1513.00,1513.50,1493.90,1.62K,-0.79%
08-16-2019,1514.10,1524.30,1528.30,1504.80,1.25K,-0.50%
08-15-2019,1521.70,1519.40,1527.60,1509.50,2.35K,+0.21%
08-14-2019,1518.50,1502.80,1525.40,1495.00,3.03K,+0.94%
08-13-2019,1504.30,1512.30,1536.00,1480.00,6.27K,-0.23%
08-12-2019,1507.70,1499.10,1519.30,1488.80,3.57K,+0.61%
08-09-2019,1498.60,1509.20,1509.80,1496.20,2.78K,-0.07%
08-08-2019,1499.70,1502.30,1511.10,1491.90,2.49K,-0.66%
08-07-2019,1509.60,1476.90,1512.40,1475.70,7.32K,+2.33%
08-06-2019,1475.20,1472.10,1477.90,1459.30,3.80K,+0.51%
08-05-2019,1467.70,1444.90,1473.20,1440.10,4.77K,+1.31%
08-02-2019,1448.70,1449.70,1451.50,1434.40,4.02K,+1.72%
08-01-2019,1424.20,1413.00,1450.00,1403.80,5.69K,-0.34%
07-31-2019,1429.10,1435.00,1439.00,1413.80,4.03K,-0.30%
07-30-2019,1433.40,1430.70,1437.50,1426.30,3.55K,+0.92%
07-29-2019,1420.40,1419.00,1428.00,1414.40,224.27K,+0.08%
07-26-2019,1419.30,1414.90,1424.80,1412.90,306.02K,+0.33%
07-25-2019,1414.70,1426.80,1434.10,1411.10,489.39K,-0.63%
07-24-2019,1423.60,1418.60,1430.00,1416.70,318.16K,+0.13%
07-23-2019,1421.70,1426.00,1431.40,1414.60,386.68K,-0.36%
07-22-2019,1426.90,1428.50,1430.80,1423.00,255.35K,+0.01%
07-19-2019,1426.70,1448.30,1454.40,1421.10,530.02K,-0.10%
07-18-2019,1428.10,1428.50,1449.70,1415.60,481.33K,+0.34%
07-17-2019,1423.30,1407.90,1428.40,1401.30,358.17K,+0.86%
07-16-2019,1411.20,1416.40,1420.00,1402.10,334.82K,-0.16%
07-15-2019,1413.50,1417.70,1421.60,1409.30,243.38K,+0.09%
07-12-2019,1412.20,1406.20,1418.90,1404.50,284.97K,+0.39%
07-11-2019,1406.70,1421.10,1429.40,1402.70,400.09K,-0.41%
07-10-2019,1412.50,1400.00,1421.10,1391.80,443.50K,+0.86%
07-09-2019,1400.50,1397.90,1402.40,1387.50,287.18K,+0.04%
07-08-2019,1400.00,1401.00,1409.90,1393.80,318.69K,-0.01%
07-05-2019,1400.10,1421.60,1426.80,1388.60,577.38K,0.00%
07-04-2019,1400.10,1421.60,1426.80,1388.60,577.38K,-1.46%
07-03-2019,1420.90,1424.70,1441.00,1414.70,419.61K,+0.92%
07-02-2019,1408.00,1386.20,1424.00,1386.20,383.25K,+1.35%
07-01-2019,1389.30,1401.80,1401.90,1384.70,389.76K,-1.73%
06-28-2019,1413.70,1413.30,1427.80,1408.60,306.62K,+0.12%
06-27-2019,1412.00,1412.70,1415.30,1401.40,336.36K,+0.04%
06-26-2019,1411.50,1421.80,1421.80,1380.00,1.33K,-0.30%
06-25-2019,1415.80,1419.90,1438.20,1412.50,0.94K,+0.04%
06-24-2019,1415.20,1401.10,1421.40,1401.10,0.98K,+1.28%
06-21-2019,1397.30,1389.90,1412.00,1383.40,0.98K,+0.23%
06-20-2019,1394.10,1361.20,1393.90,1358.80,1.10K,+3.59%
06-19-2019,1345.80,1347.80,1363.00,1342.00,0.65K,-0.15%
06-18-2019,1347.80,1340.90,1354.80,1339.60,0.90K,+0.58%
06-17-2019,1340.00,1342.50,1343.90,1333.90,0.56K,-0.13%
06-14-2019,1341.70,1343.40,1359.00,1338.70,1.50K,+0.07%
06-13-2019,1340.80,1334.90,1344.00,1333.30,0.62K,+0.52%
06-12-2019,1333.90,1327.50,1338.80,1326.80,0.61K,+0.42%
06-11-2019,1328.30,1328.90,1330.40,1320.80,0.38K,+0.15%
06-10-2019,1326.30,1336.80,1337.50,1326.10,0.47K,-1.27%
06-07-2019,1343.30,1337.10,1349.50,1332.60,0.79K,+0.26%
06-06-2019,1339.80,1332.30,1341.20,1328.80,0.51K,+0.69%
06-05-2019,1330.60,1327.30,1345.60,1326.90,0.91K,+0.37%
06-04-2019,1325.70,1327.00,1330.80,1322.20,0.82K,+0.06%
06-03-2019,1324.90,1308.00,1329.70,1308.00,1.04K,+1.29%
05-31-2019,1308.00,1290.30,1308.50,1289.70,1.98K,+1.40%
05-30-2019,1289.90,1282.10,1291.00,1276.70,1.19K,+0.69%
05-29-2019,1281.00,1278.90,1285.20,1278.40,189.69K,+0.31%
05-28-2019,1277.10,1283.50,1286.90,1275.10,362.16K,0.00%
05-27-2019,1277.10,1283.50,1286.90,1275.10,362.16K,-0.51%
05-24-2019,1283.60,1283.20,1284.70,1280.10,218.71K,-0.14%
05-23-2019,1285.40,1273.30,1287.10,1272.10,330.16K,+0.88%
05-22-2019,1274.20,1274.40,1277.10,1272.00,191.37K,+0.08%
05-21-2019,1273.20,1277.70,1277.70,1269.00,213.17K,-0.32%
05-20-2019,1277.30,1277.60,1278.80,1273.30,212.18K,+0.13%
05-17-2019,1275.70,1287.20,1289.00,1274.60,264.57K,-0.82%
05-16-2019,1286.20,1297.70,1299.30,1284.20,282.07K,-0.89%
05-15-2019,1297.80,1298.00,1301.70,1293.60,247.52K,+0.12%
05-14-2019,1296.30,1300.80,1304.20,1294.30,222.05K,-0.42%
05-13-2019,1301.80,1288.30,1302.20,1282.40,379.44K,+1.12%
05-10-2019,1287.40,1285.00,1290.30,1283.90,238.64K,+0.17%
05-09-2019,1285.20,1281.90,1289.20,1280.40,306.55K,+0.30%
05-08-2019,1281.40,1285.60,1292.80,1280.20,302.69K,-0.33%
05-07-2019,1285.60,1282.40,1287.30,1279.10,251.09K,+0.14%
05-06-2019,1283.80,1281.80,1287.40,1278.10,244.34K,+0.20%
05-03-2019,1281.30,1271.60,1283.90,1269.00,280.32K,+0.73%
05-02-2019,1272.00,1278.50,1279.40,1267.30,282.50K,-0.95%
05-01-2019,1284.20,1285.20,1289.40,1274.50,275.43K,-0.12%
04-30-2019,1285.70,1281.90,1288.20,1281.50,239.44K,+0.33%
04-29-2019,1281.50,1289.00,1289.10,1279.90,208.96K,-0.31%
04-26-2019,1285.50,1277.00,1287.20,1276.20,0.80K,+0.71%
04-25-2019,1276.40,1273.60,1281.20,1272.70,0.98K,-0.02%
04-24-2019,1276.60,1271.50,1276.50,1267.90,0.34K,+0.47%
04-23-2019,1270.60,1274.40,1275.00,1265.90,0.73K,-0.32%
04-22-2019,1274.70,1275.30,1278.60,1272.90,0.13K,+0.13%
04-18-2019,1273.10,1273.50,1276.60,1270.40,0.57K,-0.05%
04-17-2019,1273.80,1276.30,1279.20,1272.50,0.46K,-0.03%
04-16-2019,1274.20,1288.70,1288.70,1273.00,1.54K,-1.11%
04-15-2019,1288.50,1291.20,1292.10,1283.00,0.43K,-0.29%
04-12-2019,1292.20,1293.30,1296.30,1290.50,0.35K,+0.13%
04-11-2019,1290.50,1308.50,1309.10,1290.40,1.51K,-1.51%
04-10-2019,1310.30,1305.00,1311.00,1301.70,0.79K,+0.40%
04-09-2019,1305.10,1298.70,1307.00,1297.50,0.59K,+0.49%
04-08-2019,1298.80,1294.40,1304.40,1292.70,0.94K,+0.48%
04-05-2019,1292.60,1293.70,1294.50,1285.60,0.44K,+0.09%
04-04-2019,1291.40,1291.50,1295.70,1282.00,1.14K,-0.07%
04-03-2019,1292.30,1293.60,1296.00,1290.00,1.02K,-0.02%
04-02-2019,1292.50,1288.70,1293.80,1286.80,0.93K,+0.10%
04-01-2019,1291.20,1294.30,1298.30,1288.30,1.55K,-0.34%
03-29-2019,1295.60,1292.20,1301.50,1288.60,1.31K,+0.24%
03-28-2019,1292.50,1312.60,1314.20,1290.50,3.66K,-1.37%
03-27-2019,1310.40,1315.40,1318.80,1307.30,206.26K,-0.35%
03-26-2019,1315.00,1321.50,1323.00,1312.10,267.17K,-0.57%
03-25-2019,1322.60,1313.30,1324.50,1310.60,251.98K,+0.78%
03-22-2019,1312.30,1309.30,1314.70,1306.50,271.38K,+0.38%
03-21-2019,1307.30,1312.70,1320.20,1302.80,332.61K,+0.43%
03-20-2019,1301.70,1306.00,1317.20,1298.10,370.40K,-0.37%
03-19-2019,1306.50,1303.70,1310.80,1302.10,206.90K,+0.38%
03-18-2019,1301.50,1302.00,1306.70,1298.00,176.49K,-0.11%
03-15-2019,1302.90,1295.60,1306.30,1293.70,234.65K,+0.60%
03-14-2019,1295.10,1309.50,1310.30,1292.50,248.21K,-1.08%
03-13-2019,1309.30,1301.80,1311.60,1300.60,214.24K,+0.86%
03-12-2019,1298.10,1293.60,1302.60,1292.00,203.89K,+0.54%
03-11-2019,1291.10,1298.20,1299.20,1290.60,196.86K,-0.63%
03-08-2019,1299.30,1286.70,1301.30,1285.60,283.84K,+1.03%
03-07-2019,1286.10,1287.30,1289.60,1280.80,257.92K,-0.12%
03-06-2019,1287.60,1288.80,1291.80,1284.30,192.93K,+0.23%
03-05-2019,1284.70,1287.80,1290.60,1282.00,216.93K,-0.22%
03-04-2019,1287.50,1294.40,1298.10,1283.80,268.39K,-0.90%
03-01-2019,1299.20,1315.50,1316.50,1291.30,343.47K,-1.28%
02-28-2019,1316.10,1321.70,1328.90,1314.00,252.24K,-0.39%
02-27-2019,1321.20,1331.00,1332.00,1318.40,198.04K,-0.31%
02-26-2019,1325.30,1326.60,1329.10,1322.90,0.94K,-0.09%
02-25-2019,1326.50,1327.00,1331.60,1324.30,0.67K,-0.24%
02-22-2019,1329.70,1323.40,1332.20,1321.40,0.59K,+0.39%
02-21-2019,1324.60,1338.30,1339.70,1320.80,1.39K,-1.45%
02-20-2019,1344.10,1339.50,1345.70,1335.80,1.34K,+0.25%
02-19-2019,1340.80,1322.00,1340.80,1320.90,1.63K,-0.30%
02-18-2019,1344.80,1325.00,1345.00,1323.80,348.64K,+1.95%
02-15-2019,1319.10,1312.70,1322.20,1312.20,1.03K,+0.59%
02-14-2019,1311.30,1307.50,1314.60,1302.70,0.87K,-0.08%
02-13-2019,1312.40,1311.70,1318.70,1305.50,0.83K,+0.08%
02-12-2019,1311.30,1307.60,1315.40,1307.60,0.46K,+0.16%
02-11-2019,1309.20,1315.50,1315.50,1304.60,0.52K,-0.51%
02-08-2019,1315.90,1311.30,1316.60,1309.40,0.43K,+0.33%
02-07-2019,1311.60,1308.00,1313.00,1304.00,0.98K,-0.01%
02-06-2019,1311.70,1316.40,1316.90,1307.40,0.56K,-0.36%
02-05-2019,1316.50,1313.50,1318.20,1312.20,0.28K,-0.01%
02-04-2019,1316.60,1319.60,1320.20,1310.00,0.98K,-0.20%
02-01-2019,1319.30,1323.20,1325.10,1317.80,1.16K,-0.23%
01-31-2019,1322.30,1321.80,1328.00,1319.40,1.43K,+0.72%
01-30-2019,1312.80,1313.40,1326.80,1311.10,2.84K,+0.30%
01-29-2019,1308.90,1302.50,1310.80,1301.70,213.61K,+0.45%
01-28-2019,1303.10,1302.30,1303.70,1296.50,243.07K,+0.39%
01-25-2019,1298.10,1280.10,1303.40,1278.90,303.84K,+1.43%
01-24-2019,1279.80,1282.30,1283.90,1275.30,225.77K,-0.33%
01-23-2019,1284.00,1284.60,1286.00,1277.70,217.13K,+0.05%
01-22-2019,1283.40,1280.70,1285.00,1276.00,318.85K,0.00%
01-21-2019,1283.40,1280.70,1285.00,1276.00,318.85K,+0.06%
